image :1method :3
P =[-0.1759028, 0.053450912, 0.039890643, 0.2511948;
  -0.0605391, -0.075328194, -0.1607649, -0.93076617;
  -4.3305805e-05, -0.00022994775, 0.00013205157, -0.00068015547]

  inlier threshold  :0.5  no_of_inliers :549
error = 2.97314
Ground data       :       projected points
116. [295.24 126.72]  [300.64764; 128.44861]  error is : 5.67722
117. [-264.44 -3.9]  [-273.42715; -2.7907307]  error is : 9.05535
118. [-268.47 -6.01]  [-277.75012; -5.1721811]  error is : 9.31786
119. [-265.98 -10.01]  [-275.00452; -9.2085991]  error is : 9.06002
120. [-303.33 -25.52]  [-315.63785; -25.462595]  error is : 12.308
121. [-298.03 -32.79]  [-309.54404; -32.77969]  error is : 11.514
122. [-238.38 -40.22]  [-245.22745; -40.17524]  error is : 6.84759
123. [-272.62 -54.89]  [-281.79099; -55.504738]  error is : 9.19157
124. [-272.62 -54.89]  [-281.79099; -55.504738]  error is : 9.19157
125. [-296.9 -68.36]  [-308.04135; -69.981659]  error is : 11.2588
126. [171.56 -0.15]  [171.10835; 0.077676028]  error is : 0.505786
127. [171.5 -13.16]  [170.94841; -12.760621]  error is : 0.680996
128. [158.66 -20.5]  [157.53703; -19.937046]  error is : 1.25618
129. [-293.04 -116.9]  [-304.02863; -120.40396]  error is : 11.5338
130. [124.81 -184.72]  [125.07204; -184.80351]  error is : 0.275025
131. [127.06 -191.47]  [127.15909; -191.70111]  error is : 0.251457
132. [130.04 -196.24]  [130.15479; -196.48686]  error is : 0.272241
133. [-260.37 -6.53]  [-268.92181; -5.5854716]  error is : 8.60382
134. [-273.97 -63.45]  [-283.23932; -64.687561]  error is : 9.35157
135. [-9.45 -204.8]  [-9.6958113; -205.30478]  error is : 0.561446
136. [-238.35 6.03]  [-245.48755; 7.6880665]  error is : 7.3276
137. [-294.23 -52.23]  [-305.30151; -53.184265]  error is : 11.1126
138. [-267.73 -62.23]  [-276.51334; -63.055161]  error is : 8.822
139. [-248.54 -83.03]  [-256.06134; -84.4991]  error is : 7.66348
140. [-297.18 -82.33]  [-308.28351; -84.517288]  error is : 11.3169
141. [-297.18 -82.33]  [-308.28351; -84.517288]  error is : 11.3169
142. [-308.93 -157.64]  [-322.39304; -163.15593]  error is : 14.5492
143. [-303.51 -167.18]  [-317.09525; -173.19313]  error is : 14.8565
144. [214.71 -120.01]  [215.4725; -120.20342]  error is : 0.786647
145. [-277.49 11.11]  [-287.76294; 12.882937]  error is : 10.4248
146. [-245.52 1.56]  [-253.21263; 3.3034458]  error is : 7.88772
147. [-271.71 -6.84]  [-281.31485; -5.9538851]  error is : 9.64565
148. [-299.73 -9.63]  [-311.95453; -8.7132654]  error is : 12.2588
149. [-308.12 -44.75]  [-320.68475; -45.288975]  error is : 12.5763
150. [-279.43 -58.27]  [-289.16266; -59.08279]  error is : 9.76655
151. [260.47 -55.04]  [261.46628; -55.138435]  error is : 1.00113
152. [205.22 -133.51]  [205.09726; -133.74585]  error is : 0.265882
153. [193.57 -17.49]  [194.27014; -17.090702]  error is : 0.805994
154. [-93.14 -69.07]  [-93.521873; -68.745979]  error is : 0.500816
155. [-153.59 -108.87]  [-156.20164; -109.79683]  error is : 2.77123
156. [-150.47 -108.57]  [-152.89116; -109.34536]  error is : 2.54228
157. [-58.66 -104.56]  [-58.680874; -104.49101]  error is : 0.0720739
158. [-148.41 -123.9]  [-150.79405; -124.76965]  error is : 2.53771
159. [-189.48 -133.29]  [-193.74124; -135.06526]  error is : 4.61625
160. [-129.13 -121.27]  [-130.74556; -121.9314]  error is : 1.7457
161. [-175.52 -139.32]  [-179.22731; -141.0271]  error is : 4.08146
162. [-187.89 -151.74]  [-192.4689; -154.17882]  error is : 5.18789
163. [-188.11 -155.69]  [-192.62088; -158.05124]  error is : 5.09151
164. [-178.52 -159.07]  [-182.75189; -161.51305]  error is : 4.88644
165. [-178.52 -159.07]  [-182.75189; -161.51305]  error is : 4.88644
166. [-174.01 -160.92]  [-177.98088; -163.21022]  error is : 4.584
167. [-169.57 -160.92]  [-173.27318; -163.02876]  error is : 4.2615
168. [-183.05 -163.97]  [-187.57866; -166.65607]  error is : 5.26533
169. [-182.54 -167.1]  [-187.02187; -169.77443]  error is : 5.21917
170. [-178.12 -169.93]  [-182.44016; -172.59583]  error is : 5.07646
171. [-177.95 -174.51]  [-182.23622; -177.17564]  error is : 5.04751
172. [-137.89 -168.12]  [-140.57867; -170.04097]  error is : 3.30441
173. [-137.89 -168.12]  [-140.57867; -170.04097]  error is : 3.30441
174. [-137.41 -171.57]  [-140.06874; -173.48882]  error is : 3.27883
175. [-133.18 -170.92]  [-135.73834; -172.83104]  error is : 3.19331
176. [-133.04 -175.3]  [-135.57635; -177.21136]  error is : 3.17591
177. [-177.34 -183.6]  [-181.80292; -186.61751]  error is : 5.3873
178. [-166.19 -181.41]  [-170.23236; -184.28897]  error is : 4.96277
179. [-155.17 -180]  [-158.66054; -182.52934]  error is : 4.31062
180. [-150.38 -181.04]  [-153.57333; -183.33652]  error is : 3.93337
181. [-177.05 -186.54]  [-181.55193; -189.65221]  error is : 5.47295
182. [-141.48 -180.52]  [-144.38414; -182.71751]  error is : 3.64185
183. [-128.44 -181.17]  [-130.79298; -183.01878]  error is : 2.99241
184. [-150.53 -185.77]  [-153.74556; -188.13135]  error is : 3.98946
185. [-168.2 -189.75]  [-172.31798; -192.7318]  error is : 5.08418
186. [-168.2 -189.75]  [-172.31798; -192.7318]  error is : 5.08418
187. [-16.03 -155.16]  [-15.887185; -154.99553]  error is : 0.217826
188. [285.02 -8.79]  [286.45792; -8.9969645]  error is : 1.45275
189. [121.54 -110.77]  [121.52042; -110.38426]  error is : 0.386231
190. [172.83 -102.14]  [172.77353; -101.75729]  error is : 0.38685
191. [138.95 -126.55]  [138.78255; -126.28693]  error is : 0.311841
192. [231.03 -72.36]  [231.15271; -72.359924]  error is : 0.122711
193. [176.31 -110.73]  [176.19676; -110.40202]  error is : 0.346977
194. [214.59 -101.55]  [214.64577; -101.60555]  error is : 0.0787156
195. [120.14 -158.87]  [120.13012; -158.7124]  error is : 0.157902
196. [277.17 -71.16]  [277.70297; -71.298271]  error is : 0.550603
197. [277.17 -71.16]  [277.70297; -71.298271]  error is : 0.550603
198. [149 -165.1]  [148.81824; -164.97517]  error is : 0.220501
199. [130.92 -181.05]  [130.90613; -180.89587]  error is : 0.154752
200. [150.78 -170.65]  [150.57835; -170.59006]  error is : 0.210364
201. [15.78 117.61]  [18.643072; 121.25285]  error is : 4.63331
202. [-190.59 105.1]  [-191.86078; 106.59355]  error is : 1.96102
203. [-170.72 81.56]  [-171.12395; 82.259491]  error is : 0.807752
204. [-167.03 82.8]  [-167.35916; 83.475235]  error is : 0.75119
205. [218.15 135.74]  [222.6084; 138.05348]  error is : 5.0229
206. [-118.67 76.89]  [-118.35493; 77.204163]  error is : 0.444936
207. [-65 -84.15]  [-64.711029; -83.676598]  error is : 0.554631
208. [-135.1 -111.08]  [-136.98239; -111.7757]  error is : 2.00683
209. [-111.4 -107]  [-112.02599; -107.37907]  error is : 0.731822
210. [-122 -109.36]  [-122.0384; -110.11478]  error is : 0.755752
211. [-181.88 -174.88]  [-186.21501; -178.10889]  error is : 5.40536
212. [265.4 41.26]  [267.68045; 41.515606]  error is : 2.29474
213. [-58.44 -137.88]  [-58.916801; -138.00769]  error is : 0.493604
214. [-58.44 -137.88]  [-58.916801; -138.00769]  error is : 0.493604
215. [-56.77 -142.02]  [-56.934391; -142.31561]  error is : 0.338243
216. [114.68 -105.82]  [114.70782; -105.53827]  error is : 0.283101
217. [104.61 -132.38]  [104.68198; -131.86873]  error is : 0.516318
218. [-115.12 -218.05]  [-117.64694; -220.49178]  error is : 3.51393
219. [136.57 -122.29]  [136.55875; -121.91003]  error is : 0.380141
220. [103.69 -152.46]  [103.67858; -151.80884]  error is : 0.651269
221. [207.67 -94.69]  [207.41103; -94.807892]  error is : 0.284543
222. [208.09 -103.07]  [208.04924; -103.51378]  error is : 0.445647
223. [112.15 -168.14]  [112.18314; -168.11839]  error is : 0.0395631
224. [112.15 -168.14]  [112.18314; -168.11839]  error is : 0.0395631
225. [122.74 -163.16]  [122.77394; -163.12813]  error is : 0.0465639
226. [104.33 -173.99]  [104.2478; -173.84485]  error is : 0.166819
227. [113.71 -173.29]  [113.50182; -172.96829]  error is : 0.383182
228. [113.71 -173.29]  [113.56784; -173.23053]  error is : 0.154094
229. [188.94 -136.02]  [189.00377; -135.78481]  error is : 0.24369
230. [109.52 -185.39]  [109.44041; -185.37607]  error is : 0.0807924
231. [131.38 -174.59]  [131.45174; -174.91223]  error is : 0.330123
232. [105.75 -205.7]  [105.71668; -205.88542]  error is : 0.188394
233. [123.25 -198.87]  [123.1549; -199.06909]  error is : 0.220644
234. [119 -206.64]  [118.96586; -206.92384]  error is : 0.28589
235. [146.36 201.93]  [151.55327; 206.74141]  error is : 7.07953
236. [146.36 201.93]  [151.55327; 206.74141]  error is : 7.07953
237. [-187.91 107.95]  [-189.14812; 109.38057]  error is : 1.89195
238. [-122.55 -64.56]  [-123.44305; -64.212959]  error is : 0.958103
239. [258.83 173.45]  [265.16; 177.43237]  error is : 7.47853
240. [-105.23 85.57]  [-104.84511; 85.842545]  error is : 0.47162
241. [-112.76 79.36]  [-112.44379; 79.591682]  error is : 0.392
242. [-115.21 62.24]  [-114.85257; 62.522762]  error is : 0.455751
243. [-154.88 39.9]  [-154.80363; 40.27486]  error is : 0.382559
244. [-133.06 -107.53]  [-134.94388; -108.17918]  error is : 1.9926
245. [-123.93 -106.68]  [-125.11063; -107.09705]  error is : 1.25213
246. [-150.41 -112.72]  [-152.7854; -113.5509]  error is : 2.51652
247. [-139.43 -111.37]  [-141.37038; -112.06821]  error is : 2.06218
248. [-156.31 -115.26]  [-159.02; -116.24568]  error is : 2.8837
249. [-106.03 -110.11]  [-107.12936; -110.4797]  error is : 1.15985
250. [-161.22 -121.88]  [-164.07339; -122.89819]  error is : 3.02962
251. [-150.32 29.99]  [-150.25905; 30.220432]  error is : 0.238359
252. [-143.82 -123.64]  [-146.26761; -125.03012]  error is : 2.81482
253. [-159.97 -129.01]  [-162.84175; -130.37425]  error is : 3.17933
254. [-133.26 -125.63]  [-135.09822; -126.26357]  error is : 1.94435
255. [103.17 -128.54]  [103.19444; -128.11081]  error is : 0.42988
256. [204.42 -89.24]  [204.33484; -89.225571]  error is : 0.0863727
257. [-102.83 -232.3]  [-105.4539; -235.35687]  error is : 4.02856
258. [107.84 -193.41]  [107.69183; -193.56117]  error is : 0.21167
259. [108.23 -197.26]  [108.11176; -197.4686]  error is : 0.239783
260. [115.46 -213.05]  [115.40003; -213.47153]  error is : 0.425768
261. [119.34 -222.23]  [119.39986; -222.70921]  error is : 0.482942
262. [206.4 175.36]  [211.91151; 179.16167]  error is : 6.69549
263. [236.14 187.62]  [242.3643; 192.06726]  error is : 7.64985
264. [-103.24 -101.22]  [-103.92539; -101.22916]  error is : 0.685456
265. [-160.8 -114.37]  [-163.50558; -115.3543]  error is : 2.87907
266. [-164.74 -117.56]  [-167.90912; -118.98457]  error is : 3.47458
267. [-152 -118.72]  [-154.42035; -119.77126]  error is : 2.6388
268. [-151.89 -131.06]  [-154.37216; -132.2912]  error is : 2.77074
269. [-153.27 -173.76]  [-156.27673; -176.01604]  error is : 3.75901
270. [-153.27 -173.76]  [-156.27673; -176.01604]  error is : 3.75901
271. [-144.22 -171.85]  [-146.80994; -173.72815]  error is : 3.19925
272. [-144.22 -171.85]  [-147.01353; -173.72675]  error is : 3.36541
273. [279.72 -0.49]  [280.51584; 0.28609315]  error is : 1.11161
274. [124.5 -115.14]  [124.46577; -114.7116]  error is : 0.429764
275. [144.81 -141.94]  [144.88565; -141.75481]  error is : 0.200052
276. [197.91 -116.47]  [197.59348; -116.45935]  error is : 0.316707
277. [-107.78 -64.96]  [-108.09328; -64.487839]  error is : 0.566638
278. [-60.94 -70.98]  [-60.557369; -70.377716]  error is : 0.713551
279. [-128.04 76.97]  [-127.85564; 77.206978]  error is : 0.300242
280. [-158.19 -108.2]  [-161.04124; -109.50257]  error is : 3.13469
281. [-158.19 -108.2]  [-161.04124; -109.50257]  error is : 3.13469
282. [-129.95 -107.22]  [-131.37651; -107.61214]  error is : 1.47943
283. [-96.68 -110.6]  [-97.718933; -111.15098]  error is : 1.17599
284. [-145.1 25.95]  [-144.95212; 26.24522]  error is : 0.33019
285. [-124.37 -146.88]  [-126.07179; -147.99246]  error is : 2.03314
286. [183.6 -120.99]  [183.5403; -121.25635]  error is : 0.27296
287. [-144.45 -107.24]  [-146.8744; -108.25775]  error is : 2.62937
288. [-86.44 -100.87]  [-86.894737; -100.77348]  error is : 0.464865
289. [-133.44 -115.1]  [-135.14386; -115.69185]  error is : 1.80372
290. [-133.44 -115.1]  [-135.28981; -115.70908]  error is : 1.9475
291. [168.94 -160.26]  [168.07449; -159.03226]  error is : 1.50215
292. [164.45 -168.49]  [164.35727; -168.38351]  error is : 0.141205
293. [225.94 132.07]  [232.48363; 133.77397]  error is : 6.76184
294. [-145.08 -141.05]  [-147.45041; -142.53809]  error is : 2.79879
295. [135.06 211.36]  [139.42693; 216.65456]  error is : 6.86312
296. [150.47 214.38]  [155.51706; 220.28232]  error is : 7.76596
297. [-149.97 -119.56]  [-152.42198; -120.44874]  error is : 2.60808
298. [-25.8 127.06]  [-24.096975; 131.28069]  error is : 4.55132
299. [-25.8 127.06]  [-24.096975; 131.28069]  error is : 4.55132
300. [-1.08 119.3]  [1.3570218; 123.22775]  error is : 4.62236
301. [182.12 184.44]  [187.29243; 188.35631]  error is : 6.4878
302. [145 163.88]  [149.02545; 167.04103]  error is : 5.11824
303. [-279.82 45.2]  [-290.84897; 48.237572]  error is : 11.4396
304. [270.01 145.86]  [275.82193; 148.40919]  error is : 6.3464
305. [-271.55 9.16]  [-281.17087; 10.82306]  error is : 9.76356
306. [175.96 79.76]  [178.05815; 80.706673]  error is : 2.30182
307. [-232.44 -11.88]  [-238.88539; -10.974677]  error is : 6.50866
308. [290.53 107.91]  [294.46616; 109.71186]  error is : 4.32897
309. [-159.32 111.2]  [-160.19365; 111.60555]  error is : 0.963185
310. [241.13 59.24]  [243.60301; 59.904213]  error is : 2.56065
311. [-161.54 93.67]  [-162.1152; 93.939758]  error is : 0.635325
312. [-80.59 80.32]  [-80.596085; 80.028168]  error is : 0.291895
313. [120.86 65.44]  [120.01788; 65.440323]  error is : 0.842117
314. [-87.32 65.75]  [-87.519218; 65.551712]  error is : 0.28108
315. [266.91 36.43]  [269.29974; 36.546829]  error is : 2.39259
316. [264.81 28.03]  [266.91074; 28.367504]  error is : 2.12768
317. [86.61 38.83]  [84.991692; 38.644135]  error is : 1.62895
318. [-18.77 14.91]  [-19.139744; 15.240931]  error is : 0.496211
319. [-310.52 -92.99]  [-322.85068; -95.419571]  error is : 12.5678
320. [-105.27 32.69]  [-105.41856; 32.692921]  error is : 0.148588
321. [-108.29 32.22]  [-108.36294; 32.217155]  error is : 0.0729925
322. [184.66 -15.49]  [184.30255; -15.165929]  error is : 0.482487
323. [-108.96 26.07]  [-108.8951; 26.122442]  error is : 0.0834425
324. [-103.76 19.55]  [-103.64707; 19.673626]  error is : 0.167442
325. [153.46 -20.87]  [152.58174; -20.425278]  error is : 0.984443
326. [-136.02 21.82]  [-136.08974; 21.964132]  error is : 0.160115
327. [-123.21 20.73]  [-123.15543; 20.852934]  error is : 0.1345
328. [-7.13 -10.03]  [-7.755568; -9.3766165]  error is : 0.904569
329. [185.82 -37.06]  [185.25842; -36.982727]  error is : 0.566876
330. [267.93 -30.73]  [268.79498; -31.401423]  error is : 1.095
331. [-188.61 -136.84]  [-192.93431; -138.67949]  error is : 4.6993
332. [-188.54 -148.22]  [-192.94928; -150.36864]  error is : 4.90494
333. [-311.16 -164.83]  [-324.85696; -170.73602]  error is : 14.916
334. [-311.16 -164.83]  [-324.85696; -170.73602]  error is : 14.916
335. [-51.46 -148.45]  [-51.941906; -148.77875]  error is : 0.583362
336. [-51.46 -148.45]  [-51.941906; -148.77875]  error is : 0.583362
337. [197.2 -94.78]  [197.22105; -94.49678]  error is : 0.284
338. [204.64 -102.87]  [204.63583; -103.10957]  error is : 0.239599
339. [282.06 -75.44]  [282.57755; -76.23571]  error is : 0.949214
340. [282.06 -75.44]  [282.57755; -76.23571]  error is : 0.949214
341. [-209.78 -178.22]  [-215.63322; -181.71254]  error is : 6.81602
342. [-209.78 -178.22]  [-215.63322; -181.71254]  error is : 6.81602
343. [-145.64 -185.93]  [-148.93341; -188.54701]  error is : 4.20658
344. [-180.93 -190.73]  [-185.72916; -194.10477]  error is : 5.86695
345. [104.83 -160.72]  [104.94592; -160.54289]  error is : 0.211672
346. [153.04 -148.76]  [152.79248; -148.4986]  error is : 0.359988
347. [189.02 -140.34]  [189.01601; -140.20578]  error is : 0.134276
348. [127.48 -180.3]  [127.41211; -180.33592]  error is : 0.07681
349. [110.67 -200.8]  [110.6721; -201.14807]  error is : 0.348075
350. [110.67 -200.8]  [110.6721; -201.14807]  error is : 0.348075
351. [-30.51 119.72]  [-29.003025; 123.68526]  error is : 4.24197
352. [-30.51 119.72]  [-29.003025; 123.68526]  error is : 4.24197
353. [154.04 154.3]  [157.86098; 157.10515]  error is : 4.74012
354. [217.74 153.67]  [222.45807; 156.38545]  error is : 5.44369
355. [-295.72 2.62]  [-307.4624; 3.9438717]  error is : 11.8168
356. [-251.5 -14.46]  [-259.39664; -13.657635]  error is : 7.9373
357. [-277.65 -9.81]  [-287.64398; -8.8870296]  error is : 10.0365
358. [-306.48 -37.16]  [-318.71579; -37.391552]  error is : 12.238
359. [-306.48 -37.16]  [-318.71579; -37.391552]  error is : 12.238
360. [-183.66 94]  [-185.0898; 94.736359]  error is : 1.60827
361. [254.3 48.21]  [256.93353; 48.677078]  error is : 2.67463
362. [-78.28 77.05]  [-78.59333; 76.794724]  error is : 0.404159
363. [-311.66 -61.22]  [-324.40271; -62.454296]  error is : 12.8023
364. [-121 65.3]  [-120.99344; 65.17733]  error is : 0.122848
365. [-147.64 58.16]  [-147.79921; 58.184914]  error is : 0.161148
366. [-275.39 -80.59]  [-284.7309; -82.103348]  error is : 9.46268
367. [-173.09 33.23]  [-173.63116; 33.444717]  error is : 0.582209
368. [229.47 -68.79]  [229.73045; -68.630234]  error is : 0.30555
