image :1method :2
P =[0.17402875, -0.05408809, -0.040565643, -0.25649726;
131. [127.06 -191.47]  [126.72486; -192.2233]  error is : 0.824482
132. [130.04 -196.24]  [129.8222; -197.08284]  error is : 0.870518
133. [-260.37 -6.53]  [-260.06982; -6.6335206]  error is : 0.31752
134. [-273.97 -63.45]  [-274.04007; -63.63319]  error is : 0.196132
135. [-9.45 -204.8]  [-9.3833199; -204.16109]  error is : 0.642386
136. [-238.35 6.03]  [-237.63606; 5.999845]  error is : 0.71458
137. [-294.23 -52.23]  [-294.92145; -52.395969]  error is : 0.711077
138. [-267.73 -62.23]  [-267.62994; -62.088257]  error is : 0.173506
139. [-248.54 -83.03]  [-248.18423; -83.029678]  error is : 0.355759
140. [-297.18 -82.33]  [-297.96854; -82.703148]  error is : 0.872376
141. [-297.18 -82.33]  [-297.96854; -82.703148]  error is : 0.872376
142. [-308.93 -157.64]  [-311.47183; -159.08853]  error is : 2.92561
143. [-303.51 -167.18]  [-306.42877; -168.92484]  error is : 3.40054
144. [214.71 -120.01]  [215.17783; -121.06996]  error is : 1.15861
145. [-277.49 11.11]  [-277.81747; 11.162672]  error is : 0.331693
146. [-245.52 1.56]  [-245.00627; 1.807314]  error is : 0.570163
147. [-271.71 -6.84]  [-271.81616; -6.9654031]  error is : 0.164311
148. [-299.73 -9.63]  [-300.78284; -9.5763779]  error is : 1.05419
149. [-308.12 -44.75]  [-309.35364; -44.742111]  error is : 1.23367
150. [-279.43 -58.27]  [-279.63837; -58.1772]  error is : 0.228104
151. [260.47 -55.04]  [261.1333; -55.684788]  error is : 0.925049
152. [205.22 -133.51]  [204.87326; -134.64186]  error is : 1.18379
153. [193.57 -17.49]  [192.30885; -17.428627]  error is : 1.26265
154. [-93.14 -69.07]  [-91.992615; -68.637512]  error is : 1.22619
155. [-153.59 -108.87]  [-152.59015; -108.30028]  error is : 1.15077
156. [-150.47 -108.57]  [-149.39412; -107.88259]  error is : 1.27674
157. [-58.66 -104.56]  [-58.060265; -103.80453]  error is : 0.964582
158. [-148.41 -123.9]  [-147.34575; -123.02467]  error is : 1.37799
159. [-189.48 -133.29]  [-188.76695; -132.76723]  error is : 0.884147
160. [-129.13 -121.27]  [-127.95924; -120.3995]  error is : 1.45892
161. [-175.52 -139.32]  [-174.77931; -138.73956]  error is : 0.941032
162. [-187.89 -151.74]  [-187.54448; -151.52881]  error is : 0.404955
163. [-188.11 -155.69]  [-187.68791; -155.32997]  error is : 0.55478
164. [-178.52 -159.07]  [-178.17227; -158.82576]  error is : 0.424941
165. [-178.52 -159.07]  [-178.17227; -158.82576]  error is : 0.424941
166. [-174.01 -160.92]  [-173.56465; -160.54051]  error is : 0.585098
167. [-169.57 -160.92]  [-169.02; -160.4081]  error is : 0.751363
168. [-183.05 -163.97]  [-182.82709; -163.83351]  error is : 0.261383
169. [-182.54 -167.1]  [-182.28625; -166.90468]  error is : 0.320213
170. [-178.12 -169.93]  [-177.86676; -169.72604]  error is : 0.325151
171. [-177.95 -174.51]  [-177.66399; -174.2337]  error is : 0.397667
172. [-137.89 -168.12]  [-137.37897; -167.63574]  error is : 0.704027
173. [-137.89 -168.12]  [-137.37897; -167.63574]  error is : 0.704027
174. [-137.41 -171.57]  [-136.87695; -171.03877]  error is : 0.752564
175. [-133.18 -170.92]  [-132.6803; -170.43481]  error is : 0.69649
176. [-133.04 -175.3]  [-132.51489; -174.75562]  error is : 0.756366
177. [-177.34 -183.6]  [-177.24361; -183.53336]  error is : 0.117189
178. [-166.19 -181.41]  [-166.06567; -181.36514]  error is : 0.132175
179. [-155.17 -180]  [-154.86958; -179.75459]  error is : 0.38791
180. [-150.38 -181.04]  [-149.94183; -180.60431]  error is : 0.617912
181. [-177.05 -186.54]  [-176.99913; -186.52495]  error is : 0.0530509
182. [-141.48 -180.52]  [-141.04306; -180.09277]  error is : 0.611096
183. [-128.44 -181.17]  [-127.85924; -180.53484]  error is : 0.86065
184. [-150.53 -185.77]  [-150.09995; -185.32985]  error is : 0.615372
185. [-168.2 -189.75]  [-168.07277; -189.66176]  error is : 0.154834
186. [-168.2 -189.75]  [-168.07277; -189.66176]  error is : 0.154834
